train_source,generator_model,classifier,noise,split,accuracy,f1,roc_auc
real,real_baseline,DecisionTree,0,70/30,0.6955555555555556,0.3627906976744186,0.5802139037433155
real,real_baseline,RandomForest,0,70/30,0.7711111111111111,0.34394904458598724,0.7238502673796791
real,real_baseline,LogisticRegression,0,70/30,0.7777777777777778,0.358974358974359,0.7665775401069519
synthetic,GCS,DecisionTree,0,70/30,0.7088888888888889,0.4018264840182648,0.6044117647058823
synthetic,GCS,RandomForest,0,70/30,0.7777777777777778,0.16666666666666666,0.7043582887700535
synthetic,GCS,LogisticRegression,0,70/30,0.7577777777777778,0.035398230088495575,0.7493582887700534
synthetic,CTGAN,DecisionTree,0,70/30,0.56,0.18181818181818182,0.43823529411764706
synthetic,CTGAN,RandomForest,0,70/30,0.7555555555555555,0.0,0.5162299465240642
synthetic,CTGAN,LogisticRegression,0,70/30,0.7555555555555555,0.0,0.4822994652406417
synthetic,TVAE,DecisionTree,0,70/30,0.7311111111111112,0.36649214659685864,0.5914438502673797
synthetic,TVAE,RandomForest,0,70/30,0.7644444444444445,0.2638888888888889,0.6841711229946524
synthetic,TVAE,LogisticRegression,0,70/30,0.7533333333333333,0.33532934131736525,0.7455882352941176
real,real_baseline,DecisionTree,10,70/30,0.6466666666666666,0.4218181818181818,0.5855529992172862
real,real_baseline,RandomForest,10,70/30,0.7333333333333333,0.3258426966292135,0.6612509190958468
real,real_baseline,LogisticRegression,10,70/30,0.7377777777777778,0.313953488372093,0.7062925452432341
synthetic,GCS,DecisionTree,10,70/30,0.5955555555555555,0.3591549295774648,0.5340006166836649
synthetic,GCS,RandomForest,10,70/30,0.7044444444444444,0.18404907975460122,0.6456085007471359
synthetic,GCS,LogisticRegression,10,70/30,0.7066666666666667,0.18518518518518517,0.6741775574583145
synthetic,CTGAN,DecisionTree,10,70/30,0.64,0.2636363636363636,0.5175399065487062
synthetic,CTGAN,RandomForest,10,70/30,0.7044444444444444,0.0,0.5133417139062166
synthetic,CTGAN,LogisticRegression,10,70/30,0.7044444444444444,0.0,0.5561300728161097
synthetic,TVAE,DecisionTree,10,70/30,0.6022222222222222,0.3806228373702422,0.5474609236023813
synthetic,TVAE,RandomForest,10,70/30,0.6933333333333334,0.30303030303030304,0.6381371409596546
synthetic,TVAE,LogisticRegression,10,70/30,0.7266666666666667,0.38190954773869346,0.6645478048433385
real,real_baseline,DecisionTree,20,70/30,0.5311111111111111,0.3507692307692308,0.4922161172161172
real,real_baseline,RandomForest,20,70/30,0.66,0.32599118942731276,0.5816108494679922
real,real_baseline,LogisticRegression,20,70/30,0.6777777777777778,0.2639593908629442,0.61150357578929
synthetic,GCS,DecisionTree,20,70/30,0.4777777777777778,0.39588688946015427,0.48148874934589214
synthetic,GCS,RandomForest,20,70/30,0.6666666666666666,0.23469387755102042,0.5925017442874585
synthetic,GCS,LogisticRegression,20,70/30,0.6733333333333333,0.1878453038674033,0.6147305075876505
synthetic,CTGAN,DecisionTree,20,70/30,0.58,0.27586206896551724,0.49803767660910514
synthetic,CTGAN,RandomForest,20,70/30,0.6511111111111111,0.0,0.5256410256410258
synthetic,CTGAN,LogisticRegression,20,70/30,0.6533333333333333,0.0,0.5111852433281004
synthetic,TVAE,DecisionTree,20,70/30,0.5955555555555555,0.3724137931034483,0.5370225013082156
synthetic,TVAE,RandomForest,20,70/30,0.6955555555555556,0.39111111111111113,0.5958376940519797
synthetic,TVAE,LogisticRegression,20,70/30,0.6955555555555556,0.38565022421524664,0.6212061747776033
real,real_baseline,DecisionTree,30,70/30,0.5066666666666667,0.3867403314917127,0.48718480424684807
real,real_baseline,RandomForest,30,70/30,0.5911111111111111,0.2698412698412698,0.5552940444591904
real,real_baseline,LogisticRegression,30,70/30,0.6377777777777778,0.2557077625570776,0.5409132382216324
synthetic,GCS,DecisionTree,30,70/30,0.5244444444444445,0.4022346368715084,0.5038155275381553
synthetic,GCS,RandomForest,30,70/30,0.5844444444444444,0.16143497757847533,0.520923191771732
synthetic,GCS,LogisticRegression,30,70/30,0.6066666666666667,0.022099447513812154,0.5219807564698076
synthetic,CTGAN,DecisionTree,30,70/30,0.5222222222222223,0.4173441734417344,0.5070711678832117
synthetic,CTGAN,RandomForest,30,70/30,0.5666666666666667,0.33447098976109213,0.5441066688785665
synthetic,CTGAN,LogisticRegression,30,70/30,0.5377777777777778,0.21212121212121213,0.4799062707365627
synthetic,TVAE,DecisionTree,30,70/30,0.6333333333333333,0.2918454935622318,0.554620106171201
synthetic,TVAE,RandomForest,30,70/30,0.6311111111111111,0.12631578947368421,0.5632257796947578
synthetic,TVAE,LogisticRegression,30,70/30,0.6266666666666667,0.14285714285714285,0.5734696416721965
real,real_baseline,DecisionTree,40,70/30,0.5133333333333333,0.45925925925925926,0.5084517173170293
real,real_baseline,RandomForest,40,70/30,0.52,0.3374233128834356,0.48984994705188917
real,real_baseline,LogisticRegression,40,70/30,0.5266666666666666,0.2578397212543554,0.48148814162121123
synthetic,GCS,DecisionTree,40,70/30,0.4577777777777778,0.44545454545454544,0.4606485644068812
synthetic,GCS,RandomForest,40,70/30,0.5022222222222222,0.3879781420765027,0.4912885372335112
