group_column,accuracy_gap,f1_gap,roc_auc_gap,generator_model,classifier,noise,split
gender,0.045313819307627345,0.05709188224799289,0.041172233032420014,real_baseline,DecisionTree,0,70/30
race,0.016666666666666607,0.08879687140556708,0.043564699441710264,real_baseline,DecisionTree,0,70/30
gender,0.07289614410357448,0.3076441102756892,0.08657816481830005,real_baseline,RandomForest,0,70/30
race,0.05075757575757578,0.051808406647116334,0.0029073230292742114,real_baseline,RandomForest,0,70/30
gender,0.017590768364762144,0.2970588235294117,0.05890538773166609,real_baseline,LogisticRegression,0,70/30
race,0.018939393939393923,0.14781966001478197,0.032107278928763194,real_baseline,LogisticRegression,0,70/30
gender,0.08112862369828311,0.19743589743589746,0.1375185634133287,GCS,DecisionTree,0,70/30
race,0.06893939393939397,0.005797101449275366,0.009574753217721499,GCS,DecisionTree,0,70/30
gender,0.0017590768364762477,0.07295466388744137,0.05496276684352863,GCS,RandomForest,0,70/30
race,0.030303030303030387,0.031055900621118016,0.002593795957833378,GCS,RandomForest,0,70/30
gender,0.009358288770053513,0.0425531914893617,0.02547263602241434,GCS,LogisticRegression,0,70/30
race,0.034848484848484795,0.04789915966386554,0.134956830922062,GCS,LogisticRegression,0,70/30
gender,0.03862932732901769,0.027788303650372603,0.031626917037934965,CTGAN,DecisionTree,0,70/30
race,0.013636363636363558,0.034761235955056174,0.024064479889596646,CTGAN,DecisionTree,0,70/30
gender,0.009147199549676355,0.0,0.028663638039136408,CTGAN,RandomForest,0,70/30
race,0.037878787878787845,0.0,0.04659043170978827,CTGAN,RandomForest,0,70/30
gender,0.009147199549676355,0.0,0.08863919104277646,CTGAN,LogisticRegression,0,70/30
race,0.037878787878787845,0.0,0.04346854638759151,CTGAN,LogisticRegression,0,70/30
gender,0.038558964255558714,0.039751552795031064,0.028255818899061036,TVAE,DecisionTree,0,70/30
race,0.03712121212121211,0.13832658569500678,0.04773500154922061,TVAE,DecisionTree,0,70/30
gender,0.017379679144384985,0.304,0.019723072860732715,TVAE,RandomForest,0,70/30
race,0.00303030303030305,0.24912280701754386,0.043904640881807344,TVAE,RandomForest,0,70/30
gender,0.011820996341120216,0.17680250783699059,0.018877529320446174,TVAE,LogisticRegression,0,70/30
race,0.02954545454545454,0.03605769230769229,0.12086541867289136,TVAE,LogisticRegression,0,70/30
gender,0.02399999999999991,0.11265046559164205,0.04119389623191916,real_baseline,DecisionTree,10,70/30
race,0.009230769230769265,0.012012399896667525,0.0029635692162984784,real_baseline,DecisionTree,10,70/30
gender,0.03200000000000003,0.021255060728744946,0.035871875859201596,real_baseline,RandomForest,10,70/30
race,0.01846153846153853,0.01698317122124443,0.06161751767646961,real_baseline,RandomForest,10,70/30
gender,0.026666666666666727,0.07432432432432434,0.025299085977159352,real_baseline,LogisticRegression,10,70/30
race,0.002461538461538515,0.0640419947506562,0.04388248411174167,real_baseline,LogisticRegression,10,70/30
gender,0.10666666666666658,0.17541969656163028,0.13056385418552707,GCS,DecisionTree,10,70/30
race,0.028307692307692256,0.010553410553410525,0.007334237274193578,GCS,DecisionTree,10,70/30
gender,0.002666666666666706,0.03650793650793649,0.034513289543390946,GCS,RandomForest,10,70/30
race,0.04492307692307684,0.07923697725605283,0.022304696021944848,GCS,RandomForest,10,70/30
gender,0.016000000000000014,0.2127659574468085,0.006340488596509042,GCS,LogisticRegression,10,70/30
race,0.014769230769230868,0.17950819672131146,0.07410068613671228,GCS,LogisticRegression,10,70/30
gender,0.016000000000000014,0.22823529411764706,0.09092657975737828,CTGAN,DecisionTree,10,70/30
race,0.06646153846153846,0.07039070067807554,0.057575042291199474,CTGAN,DecisionTree,10,70/30
gender,0.01866666666666661,0.0,1.04780681464689e-06,CTGAN,RandomForest,10,70/30
race,0.0006153846153846843,0.0,0.03193656141254397,CTGAN,RandomForest,10,70/30
gender,0.01866666666666661,0.0,0.07570194674123698,CTGAN,LogisticRegression,10,70/30
race,0.0006153846153846843,0.0,0.04887952909241111,CTGAN,LogisticRegression,10,70/30
gender,0.002666666666666706,0.07365491651205935,0.034170237592290875,TVAE,DecisionTree,10,70/30
race,0.030153846153846198,0.012251899044351866,0.01826277945273569,TVAE,DecisionTree,10,70/30
gender,0.03200000000000003,0.16369942196531792,0.02657259037962456,TVAE,RandomForest,10,70/30
race,0.007384615384615434,0.1741580949697055,0.0023579243693871987,TVAE,RandomForest,10,70/30
gender,0.008000000000000007,0.2537931034482759,0.006624653804628511,TVAE,LogisticRegression,10,70/30
race,0.012923076923076926,0.14891774891774895,0.05217330271915421,TVAE,LogisticRegression,10,70/30
