group_value,n_samples,accuracy,f1,roc_auc,group_column,generator_model,classifier,noise,split
1,374,0.7032085561497327,0.3728813559322034,0.5871492445266728,gender,real_baseline,DecisionTree,0,70/30
0,76,0.6578947368421053,0.3157894736842105,0.5459770114942528,gender,real_baseline,DecisionTree,0,70/30
0,330,0.7,0.38509316770186336,0.5910278745644599,race,real_baseline,DecisionTree,0,70/30
1,120,0.6833333333333333,0.2962962962962963,0.5474631751227497,race,real_baseline,DecisionTree,0,70/30
1,374,0.7834224598930482,0.39097744360902253,0.7383980881899476,gender,real_baseline,RandomForest,0,70/30
0,76,0.7105263157894737,0.08333333333333333,0.6518199233716475,gender,real_baseline,RandomForest,0,70/30
0,330,0.7575757575757576,0.3548387096774194,0.7240611691831204,race,real_baseline,RandomForest,0,70/30
1,120,0.8083333333333333,0.30303030303030304,0.7211538461538461,race,real_baseline,RandomForest,0,70/30
1,374,0.7807486631016043,0.39705882352941174,0.7600601295097132,gender,real_baseline,LogisticRegression,0,70/30
0,76,0.7631578947368421,0.1,0.8189655172413793,gender,real_baseline,LogisticRegression,0,70/30
0,330,0.7727272727272727,0.3902439024390244,0.7726964769647697,race,real_baseline,LogisticRegression,0,70/30
1,120,0.7916666666666666,0.24242424242424243,0.7405891980360065,race,real_baseline,LogisticRegression,0,70/30
1,374,0.6951871657754011,0.36666666666666664,0.5818300955905027,gender,GCS,DecisionTree,0,70/30
0,76,0.7763157894736842,0.5641025641025641,0.7193486590038314,gender,GCS,DecisionTree,0,70/30
0,330,0.7272727272727273,0.4,0.6054006968641115,race,GCS,DecisionTree,0,70/30
1,120,0.6583333333333333,0.4057971014492754,0.614975450081833,race,GCS,DecisionTree,0,70/30
1,374,0.7780748663101604,0.1782178217821782,0.7017422139993833,gender,GCS,RandomForest,0,70/30
0,76,0.7763157894736842,0.10526315789473684,0.7567049808429119,gender,GCS,RandomForest,0,70/30
0,330,0.7696969696969697,0.17391304347826086,0.7124225706542779,race,GCS,RandomForest,0,70/30
1,120,0.8,0.14285714285714285,0.7150163666121113,race,GCS,RandomForest,0,70/30
1,374,0.7593582887700535,0.0425531914893617,0.7553576934936787,gender,GCS,LogisticRegression,0,70/30
0,76,0.75,0.0,0.7298850574712643,gender,GCS,LogisticRegression,0,70/30
0,330,0.7484848484848485,0.023529411764705882,0.7826655052264809,race,GCS,LogisticRegression,0,70/30
1,120,0.7833333333333333,0.07142857142857142,0.6477086743044189,race,GCS,LogisticRegression,0,70/30
1,374,0.553475935828877,0.17733990147783252,0.43293246993524515,gender,CTGAN,DecisionTree,0,70/30
0,76,0.5921052631578947,0.20512820512820512,0.4645593869731801,gender,CTGAN,DecisionTree,0,70/30
0,330,0.5636363636363636,0.19101123595505617,0.44468641114982577,race,CTGAN,DecisionTree,0,70/30
1,120,0.55,0.15625,0.4206219312602291,race,CTGAN,DecisionTree,0,70/30
1,374,0.7540106951871658,0.0,0.5120451742214,gender,CTGAN,RandomForest,0,70/30
0,76,0.7631578947368421,0.0,0.5407088122605364,gender,CTGAN,RandomForest,0,70/30
0,330,0.7454545454545455,0.0,0.5306329849012776,race,CTGAN,RandomForest,0,70/30
1,120,0.7833333333333333,0.0,0.48404255319148937,race,CTGAN,RandomForest,0,70/30
1,374,0.7540106951871658,0.0,0.4966851680542707,gender,CTGAN,LogisticRegression,0,70/30
0,76,0.7631578947368421,0.0,0.40804597701149425,gender,CTGAN,LogisticRegression,0,70/30
0,330,0.7454545454545455,0.0,0.4955962059620596,race,CTGAN,LogisticRegression,0,70/30
1,120,0.7833333333333333,0.0,0.4521276595744681,race,CTGAN,LogisticRegression,0,70/30
1,374,0.7245989304812834,0.36024844720496896,0.5866867098365711,gender,TVAE,DecisionTree,0,70/30
0,76,0.7631578947368421,0.4,0.6149425287356322,gender,TVAE,DecisionTree,0,70/30
0,330,0.7212121212121212,0.39473684210526316,0.601335656213705,race,TVAE,DecisionTree,0,70/30
1,120,0.7583333333333333,0.2564102564102564,0.5536006546644844,race,TVAE,DecisionTree,0,70/30
1,374,0.767379679144385,0.304,0.6809474252235584,gender,TVAE,RandomForest,0,70/30
0,76,0.75,0.0,0.7006704980842912,gender,TVAE,RandomForest,0,70/30
0,330,0.7636363636363637,0.3157894736842105,0.6938637243515292,race,TVAE,RandomForest,0,70/30
1,120,0.7666666666666667,0.06666666666666667,0.6499590834697219,race,TVAE,RandomForest,0,70/30
1,374,0.7513368983957219,0.3586206896551724,0.7545097132284921,gender,TVAE,LogisticRegression,0,70/30
0,76,0.7631578947368421,0.18181818181818182,0.735632183908046,gender,TVAE,LogisticRegression,0,70/30
0,330,0.7454545454545455,0.34375,0.7714382500967867,race,TVAE,LogisticRegression,0,70/30
1,120,0.775,0.3076923076923077,0.6505728314238953,race,TVAE,LogisticRegression,0,70/30
1,375,0.6426666666666667,0.4369747899159664,0.5914584464964694,gender,real_baseline,DecisionTree,10,70/30
0,75,0.6666666666666666,0.32432432432432434,0.5502645502645502,gender,real_baseline,DecisionTree,10,70/30
1,125,0.64,0.43037974683544306,0.5876842751842751,race,real_baseline,DecisionTree,10,70/30
0,325,0.6492307692307693,0.41836734693877553,0.5847207059679767,race,real_baseline,DecisionTree,10,70/30
1,375,0.728,0.32894736842105265,0.6554861488321564,gender,real_baseline,RandomForest,10,70/30
0,75,0.76,0.3076923076923077,0.691358024691358,gender,real_baseline,RandomForest,10,70/30
1,125,0.72,0.3137254901960784,0.7040847665847666,race,real_baseline,RandomForest,10,70/30
0,325,0.7384615384615385,0.33070866141732286,0.642467248908297,race,real_baseline,RandomForest,10,70/30
1,375,0.7333333333333333,0.32432432432432434,0.7113661053775121,gender,real_baseline,LogisticRegression,10,70/30
0,75,0.76,0.25,0.6860670194003528,gender,real_baseline,LogisticRegression,10,70/30
1,125,0.736,0.26666666666666666,0.672911547911548,race,real_baseline,LogisticRegression,10,70/30
0,325,0.7384615384615385,0.33070866141732286,0.7167940320232896,race,real_baseline,LogisticRegression,10,70/30
1,375,0.6133333333333333,0.3881856540084388,0.5551670287887017,gender,GCS,DecisionTree,10,70/30
0,75,0.5066666666666667,0.2127659574468085,0.42460317460317465,gender,GCS,DecisionTree,10,70/30
1,125,0.616,0.35135135135135137,0.5393120393120393,race,GCS,DecisionTree,10,70/30
0,325,0.5876923076923077,0.3619047619047619,0.5319778020378457,race,GCS,DecisionTree,10,70/30
1,375,0.704,0.17777777777777778,0.6396489679521999,gender,GCS,RandomForest,10,70/30
