model,noise,similarity_mean,similarity_std,divergence_js_mean,divergence_js_std,numerical_mean_abs_diff,categorical_mean_abs_prop_diff,density,coverage,coherence,authenticity
GCS,0,0.99,0.01,0.0041694564242359825,0.0021014627237728113,3.929506334573916,0.008139879079040931,0.9637942551770208,0.9605878423513694,0.987,0.33400133600534404
GCS,10,0.99,0.01,0.00486898441169308,0.0028979708211379217,2.417727395743872,0.006650902794087363,0.9509686038744156,0.935871743486974,0.985,0.3193052772211089
GCS,20,0.99,0.01,0.0043853154745479165,0.0028650878854196843,4.1174242408626816,0.007502792860174289,0.9601870407481631,0.9458917835671342,0.985,0.3139612558450234
GCS,30,0.99,0.01,0.004065829768003849,0.0033116376004137795,4.40184511308329,0.007304615862396381,0.9507014028056114,0.9592518370073481,0.986,0.331997327989312
GCS,40,0.98,0.02,0.0045287672105111575,0.002959240300039075,6.296492697776486,0.00574467644556319,0.9616566466265865,0.9559118236472945,0.989,0.32665330661322645
GCS,50,0.99,0.02,0.003928312164560165,0.002394931531404345,6.614308074243716,0.005973982634208449,0.9679358717434869,0.9445557782231129,0.986,0.32064128256513025
CTGAN,0,0.9,0.11,0.07543035752642409,0.04825694761268078,128.05084745395553,0.05890987087919024,0.4631930527722111,0.501002004008016,0.929,0.6105544422177689
CTGAN,10,0.93,0.1,0.06594605860549667,0.052333221829045984,107.23494870502911,0.0472393124073844,0.3291917167668671,0.49966599866399464,0.926,0.7147628590514362
CTGAN,20,0.91,0.09,0.07381068502163184,0.059775816564099096,83.28100329420747,0.07836870069210856,0.30981963927855716,0.45691382765531063,0.924,0.7114228456913828
CTGAN,30,0.9,0.13,0.08152689751291746,0.0777601937073948,53.58725190667048,0.059935772878208775,0.3500334001336006,0.44889779559118237,0.928,0.6960587842351369
CTGAN,40,0.88,0.1,0.0677977179433207,0.04706202202000402,121.22851124439353,0.08856600065137359,0.4358049432197729,0.5277221108884436,0.928,0.6299265197060788
CTGAN,50,0.89,0.11,0.0715460070570901,0.04175334992134202,148.93210891878996,0.07011130983592034,0.4219104876419506,0.4696058784235137,0.927,0.6232464929859719
TVAE,0,0.95,0.05,0.028240200919823315,0.015491047884836922,21.264222767439634,0.057316711383674765,0.8380761523046094,0.884435537742151,0.945,0.3974615898463594
TVAE,10,0.95,0.05,0.028586560358611932,0.017870662211023146,27.38516135413685,0.05178806756411916,0.8452905811623247,0.8904475617902472,0.938,0.3921175684702739
TVAE,20,0.94,0.05,0.030769537999914783,0.0257015007636518,13.546343460253839,0.06294399672388526,0.8694722778891116,0.8991315965263861,0.939,0.3473613894455578
TVAE,30,0.93,0.06,0.031201686534655392,0.029606131847808064,13.134599295734319,0.061243550495674356,0.8180360721442885,0.8770875083500334,0.945,0.4134936539746159
TVAE,40,0.94,0.05,0.030414401181432328,0.025257418287199716,16.81853802843782,0.05957958602674851,0.865865063460254,0.8991315965263861,0.943,0.3867735470941884
TVAE,50,0.95,0.05,0.030462541795590485,0.020103681093304657,24.259521650920902,0.04877254785967733,0.8157648630594523,0.87374749498998,0.95,0.4014696058784235
